date,kanji,reading_ja,reading_en,translation_en,description_ja,description_en,image_id,attribution_title_ja,attribution_title_en,attribution_credit_ja,attribution_credit_en,attribution_license_ja,attribution_license_en
2026-01-01,初烏,はつがらす,hatsugarasu,the first crows of the new year,初烏は、元日の朝に初めて聞く烏の声やその姿をいう。新年に耳にする最初の鳥の声として、年の改まりを感じさせる新年の季語である。,"Hatsugarasu refers to the first crows seen or heard on the morning of New Year's Day. In a land where crows are everyday birds, singling out their first cawing of the year marks the fresh turn of the calendar.",kigo-01-01,初烏,first raven [cry],画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-01-07,初日,はつひ,hatsu hi,the first sunrise of the new year,初日は、元日の朝に昇る一年で最初の太陽をいう。初日の出を拝む習慣は古くから続き、新しい年の幸福を祈る対象として大切にされてきた。,"Hatsuhi is the first sunrise of the new year, seen on the morning of January 1. Watching and honoring this first sun is a long-standing custom bound up with wishes for good fortune in the year ahead.",kigo-01-07,初日,first sun,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-02-19,雉,きじ,kiji,green pheasant,雉は日本の国鳥で、春の繁殖期に雄が甲高い声で鳴き、羽を広げて縄張りを誇示する。その声と姿が野に春を告げるため、春の季語とされる。,"The kiji is the green pheasant, Japan's national bird. It belongs to spring because the males call sharply and display in the breeding season, making the bird a familiar sign of the fields coming to life.",kigo-02-19,雉,pheasant,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-03-21,春の月,はるのつき,haru no tsuki,the spring moon,春の月は、春特有のうるおいを含んだ大気を通して、朧にかすんで見える月をいう。冬の澄んだ月とは違い、輪郭のやわらかい月影が春らしさとして愛でられる。,"Haru no tsuki is the moon as it appears in spring, softened and hazed by the season's moist air. Unlike the sharp, clear moon of winter, its gentle blurred glow is prized as distinctly springlike.",kigo-03-21,春の月,moon in spring,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-04-15,花見,はなみ,hanami,cherry-blossom viewing,花見は、桜の花を眺めて楽しむ行事で、木の下で飲食をともなうことも多い。平安時代の貴族の観桜に始まり、のちに庶民へ広まった、晩春を代表する習わしである。,"Hanami is the custom of gathering to view cherry blossoms, often with food and drink beneath the trees. Rooted in Heian-era aristocratic flower-viewing and later embraced by all, it is the signature social ritual of late spring.",kigo-04-15,花見,hanami,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-05-05,初鰹,はつがつお,hatsugatsuo,the first bonito of summer,初鰹は、初夏に黒潮に乗って北上する、その年最初の鰹をいう。江戸では初物として珍重され、競って高値で買い求められたことで知られる、夏の到来を告げる魚である。,"Hatsugatsuo is the first skipjack tuna of the year, taken as the fish ride the Kuroshio current north in early summer. Famously coveted in Edo, where people paid dearly for this prized first catch, it announces the start of the warm season.",kigo-05-05,初鰹,first bonito,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-06-15,菖蒲湯,しょうぶゆ,shōbuyu,sweet-flag bath,菖蒲湯は、端午の節句に菖蒲の葉を浮かべて入る風呂で、邪気を払い健康を願う習わしである。菖蒲の強い香りには薬効があると信じられ、夏の年中行事として続いてきた。,"Shōbuyu is a bath steeped with the aromatic leaves of sweet flag (calamus), taken at the Boys' Day festival. Its pungent scent was believed to ward off illness and misfortune, which made the bath a health-minded seasonal custom of summer.",kigo-06-15,菖蒲湯,iris bath,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-07-15,水着,みずぎ,mizugi,swimsuit,水着は、海や川、プールで泳ぐときに着る衣服をいう。夏の水遊びや海水浴に欠かせないものとして、盛夏の暮らしを表す季語となっている。,"Mizugi is the clothing worn for swimming in the sea, rivers, or pools. As an essential of bathing and water play, it stands as a marker of high summer and its season of seaside leisure.",kigo-07-15,水着,bathing suit,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-08-15,女郎花,おみなえし,ominaeshi,golden lace flower,女郎花は秋の七草の一つで、細い茎の先に黄色い小花を房状に咲かせる。万葉集にも詠まれた古くからなじみ深い野草で、初秋の野を彩る花として知られる。,"Ominaeshi is patrinia, one of the traditional seven flowers of autumn, bearing clusters of tiny yellow blossoms on slender stems. Long celebrated in classical poetry, it is a well-loved wildflower of the early-autumn fields.",kigo-08-15,女郎花,yellow valerian,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-09-15,白粉花,おしろいばな,oshiroibana,four o'clock flower,白粉花は、夕方に開いて翌朝しぼむ花で、赤・黄・白などの色をつける。黒い種の中の白い胚乳が化粧の白粉に似ることからこの名があり、秋を通じて咲き続ける身近な草花である。,"Oshiroibana is the four o'clock flower, whose blossoms open in late afternoon and fade by morning. Its name comes from the white, powdery interior of its black seeds, likened to face powder; a common garden plant, it flowers throughout autumn.",kigo-09-15,白粉花,four o'clock flower,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-10-20,藁塚,わらづか,warazuka,rice-straw stacks,藁塚は、稲刈りのあとに残った藁を円錐形などに積み上げたものをいう。収穫を終えた田に立ち並ぶ姿が、晩秋の農村の景を表す季語となっている。,"Warazuka are the mounds of rice straw piled up in the fields after the harvest. Standing across the emptied paddies, they are a characteristic sight of the late-autumn countryside once the rice is in.",kigo-10-20,藁塚,rice-straw stack,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-11-07,綿虫,わたむし,watamushi,woolly aphid,綿虫は、体から白い綿状の分泌物を出して、初冬の空をふわふわと漂うように飛ぶ小さな虫をいう。雪虫とも呼ばれ、その出現が雪の近いことを告げるとされてきた。,"Watamushi are tiny aphids that secrete a white, cotton-like wax and drift slowly through the air in early winter. Also called snow insects, their appearance is traditionally read as a sign that the first snow is near.",kigo-11-07,綿虫,bed bugs,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-11-23,千鳥,ちどり,chidori,plover,千鳥は、冬に水辺や海辺に群れて過ごす小型の水鳥をいう。夜に鳴き交わす声が古くから和歌に詠まれ、冬の川辺や浜の情景を代表する鳥とされてきた。,"Chidori are plovers, small shorebirds that gather along winter coasts and riverbanks. Their calls have been sung in classical Japanese poetry for centuries, making them an emblem of the cold waterside in winter.",kigo-11-23,千鳥,"plovers, sand pipers",画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-12-15,冬木立,ふゆこだち,fuyu kodachi,winter grove,冬木立は、葉を落として立ち並ぶ冬の木々をいう。枝ばかりとなった裸の樹形が冬の寒々とした趣を見せ、季節の深まりを表す季語である。,"Fuyu kodachi refers to a stand of bare, leafless trees in winter. Stripped to their branches, they convey the starkness of the cold season and serve as a familiar marker of deep winter.",kigo-12-15,冬木立,winter grove,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
2026-12-31,冬田,ふゆた,fuyuta,winter rice fields,冬田は、稲を刈り取ったあと、何も植えられずに広がる冬の田をいう。乾いて静まった田面が、農作業を終えた冬の大地のさまを表している。,"Fuyuta refers to the rice paddies as they lie in winter, harvested and left empty. The dry, quiet fields express the stillness of farmland at rest through the cold months.",kigo-12-31,冬田,winter paddy,画像未選定（要差し替え）,Pending image selection,未確定,To be confirmed
