date,kanji,reading_ja,reading_en,translation_en,description_ja,description_en
2026-01-07,七草,ななくさ,nanakusa,seven herbs of spring,正月に疲れた胃を休めるため、七種の若菜を刻んで粥に炊き込み、無病息災を願って食べる。,"On the seventh morning of the new year, seven young greens are simmered into rice porridge — a quiet way to rest the stomach after the holiday's feasting and wish for a healthy year ahead."
2026-02-14,梅,うめ,ume,plum blossom,まだ冷たい風の中、他の花に先駆けて咲く梅の花は、かすかな香りで春の訪れを告げる。,"Before any other blossom dares to open, plum flowers push through the last cold winds, their faint fragrance the season's first quiet announcement of spring."
2026-03-21,桜,さくら,sakura,cherry blossom,川沿いの土手が薄紅色に染まり、人々が足を止めて枝を見上げる、一年でもっとも短い盛りの季節。,"The riverbank turns pale pink almost overnight, and for a few short days everyone slows their walk to look up at the branches."
2026-04-29,花吹雪,はなふぶき,hanafubuki,falling cherry petals,満開を過ぎた桜が風に散り、空を薄紅色の吹雪のように舞い落ちる、花見の終わりを告げる光景。,"Past their peak, cherry petals let go all at once, swirling through the air like a soft pink snowstorm — the quiet signal that the season of blossom-viewing is closing."
2026-05-05,鯉のぼり,こいのぼり,koinobori,carp streamers,五月の空に大小の鯉のぼりが泳ぎ、子どもの健やかな成長を願う家々の屋根の上ではためく。,"Cloth carp of every size swim through the May sky, strung above rooftops in a wish for each child's strength and long life."
2026-06-10,紫陽花,あじさい,ajisai,hydrangea,梅雨の湿った空気の中、紫陽花は雨粒を受けながら少しずつ色を変え、灰色の景色に静かな彩りを添える。,"Through the damp hush of the rainy season, hydrangea blossoms slowly shift color under the falling rain, a quiet patch of blue and violet against the grey."
2026-07-07,七夕,たなばた,tanabata,the Star Festival,短冊に願いごとを書いて笹の葉に結び、年に一度だけ天の川で会えるという織姫と彦星の伝説を偲ぶ夜。,"Wishes written on strips of paper hang from bamboo branches tonight, in memory of the two star-crossed lovers said to cross the Milky Way just once a year."
2026-08-15,花火,はなび,hanabi,fireworks,川辺に人々が集まり、闇を切り裂いて広がる大輪の花火に歓声をあげる、夏の夜の恒例行事。,Crowds gather along the riverbank as huge blooms of light tear open the night sky — the season's ritual way of sending summer off with a shout.
2026-09-15,十五夜,じゅうごや,jūgoya,the harvest moon,澄んだ秋の空に浮かぶ満月を愛で、すすきと月見団子を供えて実りの季節に感謝する夜。,"Under a full moon hung clear in the autumn sky, people set out pampas grass and small round dumplings, a quiet thanks for the season's harvest."
2026-10-20,紅葉,もみじ,momiji,autumn leaves,山々の緑が赤や黄色に染まり、風が吹くたびに色づいた葉がひらひらと舞い落ちる。,"The green of the mountains turns to red and gold, and every gust sends another handful of colored leaves spinning to the ground."
2026-11-23,木枯らし,こがらし,kogarashi,the first winter wind,冷たく乾いた北風が最後の枯れ葉を吹き払い、いよいよ冬が近いことを肌で知らせる。,"A dry, cold wind strips the last brown leaves from the branches, the first clear signal on the skin that winter is close."
2026-12-31,大晦日,おおみそか,ōmisoka,New Year's Eve,一年の汚れを払うように家々を掃き清め、除夜の鐘を聞きながら年越し蕎麦をすする、静かな年の瀬。,"Homes are swept clean as if brushing off the whole year's dust, and families sip long soba noodles while temple bells count down the year, one slow toll at a time."
